latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
47.72447916663861,-4.369270833345363,-83.21875,0,16204,1,-83.19,-83.19,0.0
47.72447916663861,-4.368229166678696,-82.68359,0,16204,1,-82.67,-82.67,0.0
47.72447916663861,-4.3671875000120295,-82.57031,0,16204,1,-82.67,-82.67,0.0
47.72447916663861,-4.366145833345363,-82.71094,0,16204,1,-82.87,-82.87,0.0
47.72447916663861,-4.365104166678696,-82.83203,0,16204,1,-82.94,-82.94,0.0
47.72447916663861,-4.36406250001203,-82.36719,0,16204,1,-82.57,-82.57,0.0
47.72447916663861,-4.363020833345363,-82.23828,0,16315,1,-82.22,-82.22,0.0
47.72447916663861,-4.3619791666786965,-82.36719,0,16315,1,-82.3,-82.3,0.0
47.72447916663861,-4.36093750001203,-82.5,1,16352,0,-82.5,-82.5,0.0
47.72447916663861,-4.359895833345363,-82.3125,0,16315,1,-82.68,-82.68,0.0
47.72447916663861,-4.358854166678697,-82.07422,0,16315,1,-82.28,-82.28,0.0
47.72447916663861,-4.35781250001203,-81.66016,0,16315,1,-81.82,-81.82,0.0
47.72447916663861,-4.356770833345363,-81.25,0,16315,1,-81.42,-81.42,0.0
47.72447916663861,-4.355729166678697,-81.0,1,16352,0,-81.0,-81.0,0.0
47.72447916663861,-4.35468750001203,-81.53125,0,16351,1,-81.45,-81.45,0.0
47.72447916663861,-4.353645833345364,-81.74609,0,16351,1,-81.77,-81.77,0.0
47.72447916663861,-4.352604166678697,-81.87891,0,16351,1,-81.91,-81.91,0.0
47.72447916663861,-4.35156250001203,-82.08203,0,16351,1,-81.97,-81.97,0.0
47.72447916663861,-4.350520833345364,-81.91406,0,16351,1,-81.97,-81.97,0.0
47.72447916663861,-4.349479166678697,-81.47656,0,16351,1,-81.13,-81.68,0.27510652
47.72447916663861,-4.3484375000120306,-81.04297,0,16351,1,-80.58,-80.58,0.0
47.72447916663861,-4.347395833345364,-81.09375,0,16351,1,-81.53,-81.53,0.0
47.72447916663861,-4.346354166678697,-81.37109,0,16351,1,-81.43,-81.43,0.0
47.72447916663861,-4.345312500012031,-81.40234,0,16351,1,-81.18,-81.18,0.0
47.72447916663861,-4.344270833345364,-81.65234,0,16351,1,-81.74,-81.74,0.0
47.72447916663861,-4.3432291666786975,-82.10156,0,16351,1,-82.25,-82.25,0.0
47.72447916663861,-4.342187500012031,-82.265625,0,16351,1,-82.27,-82.27,0.0
47.72447916663861,-4.341145833345364,-82.3125,0,16351,1,-81.76,-81.76,0.0
47.72447916663861,-4.340104166678698,-82.71484,0,16351,1,-80.86,-80.86,0.0
47.72447916663861,-4.339062500012031,-82.63672,0,16351,1,-79.91,-79.91,0.0
47.72447916663861,-4.3380208333453645,-83.453125,0,16157,1,-79.42,-79.42,0.0
47.72447916663861,-4.336979166678698,-84.82031,0,16157,1,-80.01,-80.01,0.0
47.72447916663861,-4.335937500012031,-85.5,1,16354,0,-85.5,-85.5,0.0
47.72447916663861,-4.334895833345365,-84.96094,0,16157,1,-80.97,-80.97,0.0
47.72447916663861,-4.333854166678698,-83.42969,1,16157,1,-80.86,-80.86,0.0
47.72447916663861,-4.332812500012031,-82.47266,0,16157,1,-80.91,-80.91,0.0
47.72447916663861,-4.331770833345365,-81.58203,0,16157,1,-81.16,-81.16,0.0
47.72447916663861,-4.330729166678698,-81.28125,0,16157,1,-81.35,-81.35,0.0
47.72447916663861,-4.329687500012032,-81.11328,0,16157,1,-81.28,-81.28,0.0
47.72447916663861,-4.328645833345365,-81.078125,1,16157,1,-81.1,-81.1,0.0
47.72447916663861,-4.327604166678698,-81.08594,0,16157,1,-80.89,-80.89,0.0
47.72447916663861,-4.326562500012032,-81.16797,0,16157,1,-80.66,-80.66,0.0
47.72447916663861,-4.325520833345365,-81.75781,0,16157,1,-80.57,-80.75,0.088388346
47.72447916663861,-4.324479166678699,-81.64453,1,16157,1,-81.02,-81.02,0.0
47.72447916663861,-4.323437500012032,-81.671875,1,16157,1,-81.18,-81.18,0.0
47.72447916663861,-4.322395833345365,-81.0,1,16315,0,-81.0,-81.0,0.0
47.72447916663861,-4.321354166678699,-86.5,1,16354,0,-86.5,-86.5,0.0
47.72447916663861,-4.320312500012032,-84.98047,0,16157,1,-80.34,-80.34,0.0
47.72447916663861,-4.3192708333453655,-81.57031,0,16157,1,-80.47,-80.47,0.0
47.72447916663861,-4.318229166678699,-81.58203,0,16157,1,-80.54,-80.54,0.0
47.72447916663861,-4.317187500012032,-80.98047,0,16157,1,-80.46,-80.46,0.0
47.72447916663861,-4.316145833345366,-80.38672,0,16157,1,-80.31,-80.31,0.0
47.72447916663861,-4.315104166678699,-80.08594,0,16157,1,-80.17,-80.17,0.0
47.72447916663861,-4.3140625000120325,-80.0,0,16157,1,-80.03,-80.03,0.0
47.72447916663861,-4.313020833345366,-79.57031,0,16157,1,-79.8,-79.8,0.0
47.72447916663861,-4.311979166678699,-79.18359,0,16157,1,-79.4,-79.4,0.0
47.72447916663861,-4.310937500012033,-79.17969,0,16157,1,-78.69,-78.69,0.0
47.72447916663861,-4.309895833345366,-78.8419,37,16157,0,-78.56,-79.2,0.13072813
47.72447916663861,-4.3088541666786995,-78.73667,180,16157,0,-78.36,-79.24,0.1465755
47.72447916663861,-4.307812500012033,-78.788414,331,16157,0,-78.34,-79.39,0.21194781
47.72447916663861,-4.306770833345366,-78.76192,400,16157,0,-78.23,-79.28,0.26331717
47.72447916663861,-4.3057291666787,-78.66499,400,16157,0,-78.02,-79.55,0.3394619
47.72447916663861,-4.304687500012033,-78.85598,396,16157,0,-78.02,-79.54,0.35078037
47.72447916663861,-4.303645833345366,-78.444565,398,16157,0,-77.51,-79.21,0.35561895
